xcord,ycord,zcord,plot,DBH,scientificname,commonname,year,state,carbon,sizeclass
319880.9534,4092008.066,2006.72,un1,5,Abies concolor,White fir,2002,Live,0.002655783,1
319892.5834,4091975.586,2000.423,un1,8,Abies magnifica,Red fir,2002,Live,0.008445338,1
319861.0134,4091960.696,2002.38,un1,20,Abies concolor,White fir,2002,Live,0.081310767,1
319842.6334,4092042.656,2017.06,un1,120,Abies concolor,White fir,2002,Live,6.901511532,6
319841.7334,4092043.546,2017.31,un1,90,Abies concolor,White fir,2002,Live,3.381117849,5
319841.3834,4092021.066,2014.97,un1,38,Abies concolor,White fir,2002,Dead,0.32487167,2
319844.5934,4092026.266,2015.18,un1,26,Pinus jeffreyi,Jeffrey pine,2002,Live,0.134189398,2
319845.9834,4092026.626,2015.15,un1,25,Abies concolor,White fir,2002,Live,0.141289597,2
319845.9134,4092030.946,2015.54,un1,48,Abies concolor,White fir,2002,Live,0.711415569,3
319847.4334,4092028.436,2015.09,un1,48,Abies concolor,White fir,2002,Live,0.711415569,3
319848.7234,4092027.266,2014.76,un1,29,Abies concolor,White fir,2002,Live,0.204068438,2
319847.0134,4092032.436,2015.33,un1,34,Abies concolor,White fir,2002,Live,0.302646916,2
319847.0134,4092032.446,2015.33,un1,30,Abies concolor,White fir,2002,Live,0.221948298,2
319847.0134,4092031.236,2015.29,un1,10,Abies concolor,White fir,2002,Live,0.014647586,1
319851.2334,4092035.946,2014.7,un1,133,Abies concolor,White fir,2002,Live,8.907351601,6
319849.3534,4092015.016,2013.66,un1,15,Abies concolor,White fir,2002,Live,0.039900826,1
319848.9234,4092012.986,2013.26,un1,11,Abies concolor,White fir,2002,Live,0.01853536,1
319849.5034,4092013.156,2013.22,un1,11,Abies concolor,White fir,2002,Live,0.01853536,1
319849.9634,4092013.366,2013.22,un1,9,Abies concolor,White fir,2002,Live,0.011293003,1
319849.9734,4092014.086,2013.34,un1,9,Abies concolor,White fir,2002,Live,0.011293003,1
319851.6734,4092013.386,2012.99,un1,16,Abies concolor,White fir,2002,Live,0.046807714,1
319851.8134,4092014.426,2013.09,un1,8,Abies concolor,White fir,2002,Live,0.008445338,1
319851.7334,4092015.316,2013.19,un1,48,Abies concolor,White fir,2002,Live,0.711415569,3
319850.9834,4092015.356,2013.31,un1,8,Abies concolor,White fir,2002,Live,0.008445338,1
319850.8934,4092010.456,2012.5,un1,18,Abies concolor,White fir,2002,Live,0.062645541,1
319851.5234,4092010.526,2012.61,un1,14,Abies concolor,White fir,2002,Live,0.033641657,1
319840.1634,4092028.686,2016.22,un1,55,Abies concolor,White fir,2002,Live,0.996997056,3
319807.6434,4092009.376,2011.1,un1,43,Abies concolor,White fir,2002,Live,0.541629221,3
319806.4634,4092009.476,2010.53,un1,6,Abies concolor,White fir,2002,Live,0.004157572,1
319807.2134,4092011.446,2010.8,un1,15,Abies concolor,White fir,2002,Live,0.039900826,1
319857.1934,4092014.516,2012.24,un1,104,Abies concolor,White fir,2002,Dead,4.622912669,6
319857.9534,4092010.056,2011.47,un1,22,Abies concolor,White fir,2002,Live,0.10295028,2
319859.2434,4092021.956,2012.08,un1,11,Abies concolor,White fir,2002,Live,0.01853536,1
319858.3334,4092024.926,2012.38,un1,26,Abies concolor,White fir,2002,Live,0.155703523,2
319867.8834,4092034.286,2010.72,un1,16,Abies concolor,White fir,2002,Live,0.046807714,1
319867.5734,4092031.366,2010.52,un1,93,Abies concolor,White fir,2002,Live,3.6675714,5
319864.2134,4092030.636,2011.22,un1,82,Abies concolor,White fir,2002,Live,2.684076982,5
319867.1234,4092030.196,2010.6,un1,8,Abies concolor,White fir,2002,Live,0.008445338,1
319865.5234,4092022.476,2010.29,un1,14,Abies concolor,White fir,2002,Live,0.033641657,1
319875.3134,4092012.836,2008.11,un1,14,Abies concolor,White fir,2002,Live,0.033641657,1
319874.1134,4092013.766,2008.28,un1,83,Abies concolor,White fir,2002,Live,2.765987971,5
319869.8334,4092020.986,2009.48,un1,38,Abies concolor,White fir,2002,Live,0.398696976,2
319869.2634,4092022.056,2009.63,un1,9,Abies concolor,White fir,2002,Live,0.011293003,1
319868.9034,4092021.946,2009.63,un1,7,Abies concolor,White fir,2002,Live,0.00607676,1
319871.4234,4092020.316,2009.31,un1,18,Abies concolor,White fir,2002,Live,0.062645541,1
319872.0634,4092018.416,2009.05,un1,7,Abies concolor,White fir,2002,Live,0.00607676,1
319872.7434,4092018.556,2008.92,un1,5,Abies concolor,White fir,2002,Live,0.002655783,1
319873.2934,4092018.226,2008.86,un1,10,Abies concolor,White fir,2002,Live,0.014647586,1
