x,y,fire,year
37,336,3.04938,2010
38,336,3,2010
43,336,3,2010
44,336,3.19672,2010
45,336,3.05674,2010
46,336,2.24653,2010
47,336,1.97973,2010
48,336,1.53472,2010
49,336,1.45833,2010
50,336,1,2010
51,336,1,2010
53,336,2.85714,2010
54,336,3.91667,2010
57,336,1,2010
65,336,1.75,2010
66,336,1.40805,2010
67,336,1.8,2010
68,336,2,2010
3,335,4,2010
5,335,4,2010
6,335,3.85714,2010
7,335,3.6,2010
8,335,3.00758,2010
14,335,3.37273,2010
15,335,3.13043,2010
16,335,4.31429,2010
17,335,4.01471,2010
18,335,4.04478,2010
19,335,4.38889,2010
21,335,1,2010
22,335,1.28571,2010
23,335,2.48214,2010
24,335,3.79259,2010
25,335,3.8705,2010
26,335,3.62222,2010
27,335,3.50877,2010
28,335,4,2010
29,335,2.71429,2010
30,335,3.76087,2010
31,335,3.82645,2010
32,335,3.46729,2010
33,335,3.33333,2010
34,335,3.5,2010
35,335,3.13393,2010
36,335,2.76119,2010
37,335,2.8125,2010
43,335,2.875,2010
44,335,2.42391,2010
45,335,1.99645,2010
46,335,2.19149,2010
47,335,2.17803,2010
48,335,1.93657,2010
49,335,1.42222,2010
52,335,2.41176,2010
53,335,2.55814,2010
54,335,2.63291,2010
55,335,3.41176,2010
57,335,1,2010
58,335,1,2010
66,335,2,2010
67,335,1.71429,2010
68,335,1.7619,2010
5,334,2.5,2010
6,334,4.10256,2010
7,334,2.64062,2010
8,334,1.18304,2010
9,334,1,2010
12,334,1,2010
13,334,1.10811,2010
14,334,1.3125,2010
15,334,3.01293,2010
16,334,4.01449,2010
17,334,3.97143,2010
18,334,4.06349,2010
21,334,1,2010
22,334,1,2010
23,334,3.52941,2010
24,334,3.73381,2010
25,334,3.80435,2010
26,334,3.82517,2010
27,334,3.69925,2010
28,334,3.55556,2010
29,334,1.45968,2010
30,334,3.12793,2010
31,334,4.1259,2010
32,334,3.82353,2010
33,334,3.72656,2010
34,334,3.11268,2010
35,334,1.03636,2010
36,334,2.30435,2010
37,334,2.625,2010
41,334,2.12245,2010
42,334,2.90722,2010
43,334,3.36765,2010
44,334,2.27494,2010
45,334,2.19286,2010
46,334,2.27083,2010
47,334,2.56618,2010
48,334,2.84586,2010
49,334,2.91667,2010
52,334,2.71429,2010
53,334,2.67677,2010
54,334,2.68605,2010
55,334,2.52055,2010
57,334,1.02041,2010
58,334,1,2010
67,334,1.5,2010
68,334,2,2010
6,333,1.2,2010
7,333,1.10769,2010
8,333,1.01124,2010
9,333,1,2010
11,333,1,2010
12,333,1,2010
13,333,1.19853,2010
14,333,1.27612,2010
15,333,1.15873,2010
16,333,4,2010
17,333,2.55357,2010
18,333,1,2010
21,333,1,2010
22,333,1,2010
24,333,1.70796,2010
25,333,2.63846,2010
26,333,3.9,2010
27,333,3.58108,2010
28,333,3.8,2010
29,333,3.77273,2010
30,333,3.79293,2010
31,333,4.18929,2010
32,333,4.03521,2010
33,333,3.92647,2010
34,333,2.16364,2010
35,333,1,2010
36,333,1,2010
37,333,1.05,2010
38,333,1.05263,2010
40,333,2.0137,2010
41,333,2.75191,2010
42,333,2.59524,2010
43,333,3.00382,2010
44,333,3.05357,2010
45,333,3.12389,2010
46,333,2.93662,2010
47,333,2.89394,2010
48,333,2.75,2010
49,333,2.42982,2010
50,333,3,2010
52,333,3,2010
53,333,2.75,2010
54,333,2.97727,2010
55,333,2.5,2010
57,333,1,2010
58,333,1,2010
67,333,2.4,2010
68,333,2.36508,2010
6,332,1,2010
7,332,1.12389,2010
8,332,1.13889,2010
9,332,1,2010
11,332,2.90909,2010
12,332,2.24419,2010
13,332,2.08491,2010
14,332,1.30672,2010
15,332,1,2010
16,332,1,2010
17,332,1,2010
18,332,1,2010
24,332,1,2010
25,332,1,2010
26,332,3.5,2010
29,332,3.86111,2010
30,332,3.5,2010
31,332,3.9939,2010
32,332,4.02381,2010
33,332,3.91429,2010
34,332,4,2010
37,332,1.29412,2010
38,332,1.21795,2010
40,332,1.89759,2010
41,332,3.24803,2010
42,332,2.98507,2010
43,332,2.40338,2010
44,332,2.38362,2010
45,332,2.60274,2010
46,332,2.98276,2010
47,332,2.93636,2010
48,332,2.79851,2010
49,332,2.36111,2010
67,332,2.56604,2010
68,332,2.78824,2010
69,332,3.07692,2010
4,331,2.26667,2010
5,331,2.89474,2010
6,331,1.61806,2010
7,331,1.18667,2010
8,331,1.72897,2010
9,331,2.33333,2010
10,331,3.01639,2010
11,331,2.5123,2010
12,331,2.87594,2010
13,331,2.46154,2010
14,331,1.44286,2010
16,331,1.00885,2010
17,331,3.26154,2010
18,331,4.53659,2010
19,331,4.88235,2010
24,331,1,2010
25,331,1.04167,2010
26,331,1,2010
29,331,4.73684,2010
30,331,4.38636,2010
31,331,4.57407,2010
32,331,4.54167,2010
37,331,2.82609,2010
38,331,3.32353,2010
39,331,3.57143,2010
41,331,3.53419,2010
42,331,3.46469,2010
43,331,2.72222,2010
44,331,1.4,2010
45,331,1.83206,2010
46,331,2.40741,2010
58,331,3,2010
67,331,2.58475,2010
68,331,2.19512,2010
69,331,2.13514,2010
4,330,2.24,2010
5,330,2.58803,2010
6,330,1.70677,2010
7,330,1.11066,2010
8,330,1.20155,2010
9,330,1.22222,2010
10,330,2.21196,2010
11,330,1.90909,2010
12,330,2.83784,2010
13,330,1.45902,2010
14,330,1.10448,2010
15,330,1,2010
16,330,1.89785,2010
17,330,3.79851,2010
18,330,4.85417,2010
20,330,1,2010
21,330,1,2010
24,330,1,2010
25,330,1.2906,2010
26,330,1.18852,2010
27,330,1,2010
29,330,3.56757,2010
30,330,3.87069,2010
31,330,4.30233,2010
32,330,4.4486,2010
35,330,1,2010
36,330,1.51429,2010
37,330,2.73913,2010
38,330,3.29839,2010
39,330,3.65882,2010
41,330,3.60714,2010
42,330,3.52549,2010
43,330,2.40408,2010
44,330,1.7,2010
45,330,1.79952,2010
46,330,2.199,2010
56,330,3,2010
57,330,3,2010
58,330,3.45775,2010
59,330,3.11594,2010
60,330,3,2010
67,330,2.125,2010
68,330,2.07018,2010
69,330,1.86538,2010
4,329,2.6,2010
5,329,1.96371,2010
6,329,2.31818,2010
7,329,1.25238,2010
8,329,1.04054,2010
